Cement ,Blast Furnance Slag,Fly Ash,Water,Limestone Powder,Silica Fume,Quartz Powder,Superplasticizer,Coarse Aggregate ,Fiber,Nano-Silica,Fine Aggregate,Age,Compressive Strength
349.0 ,0.0 ,0.0 ,192.0 ,0.0 ,0.0 ,0.0 ,0.0 ,1047.0 ,0.0 ,0.0 ,806.9 ,3 ,15.05 
380.0 ,95.0 ,0.0 ,228.0 ,0.0 ,0.0 ,0.0 ,0.0 ,932.0 ,0.0 ,0.0 ,594.0 ,180 ,40.76 
237.5 ,237.5 ,0.0 ,228.0 ,0.0 ,0.0 ,0.0 ,0.0 ,932.0 ,0.0 ,0.0 ,594.0 ,7 ,26.26 
380.0 ,95.0 ,0.0 ,228.0 ,0.0 ,0.0 ,0.0 ,0.0 ,932.0 ,0.0 ,0.0 ,594.0 ,7 ,32.82 
332.5 ,142.5 ,0.0 ,228.0 ,0.0 ,0.0 ,0.0 ,0.0 ,932.0 ,0.0 ,0.0 ,594.0 ,180 ,39.78 
190.0 ,190.0 ,0.0 ,228.0 ,0.0 ,0.0 ,0.0 ,0.0 ,932.0 ,0.0 ,0.0 ,670.0 ,180 ,46.93 
237.5 ,237.5 ,0.0 ,228.0 ,0.0 ,0.0 ,0.0 ,0.0 ,932.0 ,0.0 ,0.0 ,594.0 ,90 ,33.12 
304.0 ,76.0 ,0.0 ,228.0 ,0.0 ,0.0 ,0.0 ,0.0 ,932.0 ,0.0 ,0.0 ,670.0 ,90 ,49.19 
139.6 ,209.4 ,0.0 ,192.0 ,0.0 ,0.0 ,0.0 ,0.0 ,1047.0 ,0.0 ,0.0 ,806.9 ,7 ,14.59 
198.6 ,132.4 ,0.0 ,192.0 ,0.0 ,0.0 ,0.0 ,0.0 ,978.4 ,0.0 ,0.0 ,825.5 ,7 ,14.64 
475.0 ,0.0 ,0.0 ,228.0 ,0.0 ,0.0 ,0.0 ,0.0 ,932.0 ,0.0 ,0.0 ,594.0 ,365 ,41.93 
198.6 ,132.4 ,0.0 ,192.0 ,0.0 ,0.0 ,0.0 ,0.0 ,978.4 ,0.0 ,0.0 ,825.5 ,3 ,9.13 
304.0 ,76.0 ,0.0 ,228.0 ,0.0 ,0.0 ,0.0 ,0.0 ,932.0 ,0.0 ,0.0 ,670.0 ,180 ,50.95 
332.5 ,142.5 ,0.0 ,228.0 ,0.0 ,0.0 ,0.0 ,0.0 ,932.0 ,0.0 ,0.0 ,594.0 ,28 ,33.02 
304.0 ,76.0 ,0.0 ,228.0 ,0.0 ,0.0 ,0.0 ,0.0 ,932.0 ,0.0 ,0.0 ,670.0 ,270 ,54.38 
266.0 ,114.0 ,0.0 ,228.0 ,0.0 ,0.0 ,0.0 ,0.0 ,932.0 ,0.0 ,0.0 ,670.0 ,270 ,51.73 
310.0 ,0.0 ,0.0 ,192.0 ,0.0 ,0.0 ,0.0 ,0.0 ,971.0 ,0.0 ,0.0 ,850.6 ,3 ,9.87 
190.0 ,190.0 ,0.0 ,228.0 ,0.0 ,0.0 ,0.0 ,0.0 ,932.0 ,0.0 ,0.0 ,670.0 ,270 ,50.66 
266.0 ,114.0 ,0.0 ,228.0 ,0.0 ,0.0 ,0.0 ,0.0 ,932.0 ,0.0 ,0.0 ,670.0 ,180 ,48.70 
342.0 ,38.0 ,0.0 ,228.0 ,0.0 ,0.0 ,0.0 ,0.0 ,932.0 ,0.0 ,0.0 ,670.0 ,270 ,55.06 
139.6 ,209.4 ,0.0 ,192.0 ,0.0 ,0.0 ,0.0 ,0.0 ,1047.0 ,0.0 ,0.0 ,806.9 ,360 ,44.70 
332.5 ,142.5 ,0.0 ,228.0 ,0.0 ,0.0 ,0.0 ,0.0 ,932.0 ,0.0 ,0.0 ,594.0 ,7 ,30.28 
190.0 ,190.0 ,0.0 ,228.0 ,0.0 ,0.0 ,0.0 ,0.0 ,932.0 ,0.0 ,0.0 ,670.0 ,28 ,40.86 
485.0 ,0.0 ,0.0 ,146.0 ,0.0 ,0.0 ,0.0 ,0.0 ,1120.0 ,0.0 ,0.0 ,800.0 ,28 ,71.99 
374.0 ,189.2 ,0.0 ,170.1 ,0.0 ,0.0 ,0.0 ,10.1 ,926.1 ,0.0 ,0.0 ,756.7 ,3 ,34.40 
313.3 ,262.2 ,0.0 ,175.5 ,0.0 ,0.0 ,0.0 ,8.6 ,1046.9 ,0.0 ,0.0 ,611.8 ,3 ,28.80 
425.0 ,106.3 ,0.0 ,153.5 ,0.0 ,0.0 ,0.0 ,16.5 ,852.1 ,0.0 ,0.0 ,887.1 ,3 ,33.40 
425.0 ,106.3 ,0.0 ,151.4 ,0.0 ,0.0 ,0.0 ,18.6 ,936.0 ,0.0 ,0.0 ,803.7 ,3 ,36.30 
375.0 ,93.8 ,0.0 ,126.6 ,0.0 ,0.0 ,0.0 ,23.4 ,852.1 ,0.0 ,0.0 ,992.6 ,3 ,29.00 
475.0 ,118.8 ,0.0 ,181.1 ,0.0 ,0.0 ,0.0 ,8.9 ,852.1 ,0.0 ,0.0 ,781.5 ,3 ,37.80 
469.0 ,117.2 ,0.0 ,137.8 ,0.0 ,0.0 ,0.0 ,32.2 ,852.1 ,0.0 ,0.0 ,840.5 ,3 ,40.20 
425.0 ,106.3 ,0.0 ,153.5 ,0.0 ,0.0 ,0.0 ,16.5 ,852.1 ,0.0 ,0.0 ,887.1 ,3 ,33.40 
388.6 ,97.1 ,0.0 ,157.9 ,0.0 ,0.0 ,0.0 ,12.1 ,852.1 ,0.0 ,0.0 ,925.7 ,3 ,28.10 
531.3 ,0.0 ,0.0 ,141.8 ,0.0 ,0.0 ,0.0 ,28.2 ,852.1 ,0.0 ,0.0 ,893.7 ,3 ,41.30 
425.0 ,106.3 ,0.0 ,153.5 ,0.0 ,0.0 ,0.0 ,16.5 ,852.1 ,0.0 ,0.0 ,887.1 ,3 ,33.40 
318.8 ,212.5 ,0.0 ,155.7 ,0.0 ,0.0 ,0.0 ,14.3 ,852.1 ,0.0 ,0.0 ,880.4 ,3 ,25.20 
401.8 ,94.7 ,0.0 ,147.4 ,0.0 ,0.0 ,0.0 ,11.4 ,946.8 ,0.0 ,0.0 ,852.1 ,3 ,41.10 
362.6 ,189.0 ,0.0 ,164.9 ,0.0 ,0.0 ,0.0 ,11.6 ,944.7 ,0.0 ,0.0 ,755.8 ,3 ,35.30 
323.7 ,282.8 ,0.0 ,183.8 ,0.0 ,0.0 ,0.0 ,10.3 ,942.7 ,0.0 ,0.0 ,659.9 ,3 ,28.30 
379.5 ,151.2 ,0.0 ,153.9 ,0.0 ,0.0 ,0.0 ,15.9 ,1134.3 ,0.0 ,0.0 ,605.0 ,3 ,28.60 
362.6 ,189.0 ,0.0 ,164.9 ,0.0 ,0.0 ,0.0 ,11.6 ,944.7 ,0.0 ,0.0 ,755.8 ,3 ,35.30 
286.3 ,200.9 ,0.0 ,144.7 ,0.0 ,0.0 ,0.0 ,11.2 ,1004.6 ,0.0 ,0.0 ,803.7 ,3 ,24.40 
362.6 ,189.0 ,0.0 ,164.9 ,0.0 ,0.0 ,0.0 ,11.6 ,944.7 ,0.0 ,0.0 ,755.8 ,3 ,35.30 
439.0 ,177.0 ,0.0 ,186.0 ,0.0 ,0.0 ,0.0 ,11.1 ,884.9 ,0.0 ,0.0 ,707.9 ,3 ,39.30 
389.9 ,189.0 ,0.0 ,145.9 ,0.0 ,0.0 ,0.0 ,22.0 ,944.7 ,0.0 ,0.0 ,755.8 ,3 ,40.60 
362.6 ,189.0 ,0.0 ,164.9 ,0.0 ,0.0 ,0.0 ,11.6 ,944.7 ,0.0 ,0.0 ,755.8 ,3 ,35.30 
337.9 ,189.0 ,0.0 ,174.9 ,0.0 ,0.0 ,0.0 ,9.5 ,944.7 ,0.0 ,0.0 ,755.8 ,3 ,24.10 
374.0 ,189.2 ,0.0 ,170.1 ,0.0 ,0.0 ,0.0 ,10.1 ,926.1 ,0.0 ,0.0 ,756.7 ,7 ,46.20 
313.3 ,262.2 ,0.0 ,175.5 ,0.0 ,0.0 ,0.0 ,8.6 ,1046.9 ,0.0 ,0.0 ,611.8 ,7 ,42.80 
425.0 ,106.3 ,0.0 ,153.5 ,0.0 ,0.0 ,0.0 ,16.5 ,852.1 ,0.0 ,0.0 ,887.1 ,7 ,49.20 
425.0 ,106.3 ,0.0 ,151.4 ,0.0 ,0.0 ,0.0 ,18.6 ,936.0 ,0.0 ,0.0 ,803.7 ,7 ,46.80 
375.0 ,93.8 ,0.0 ,126.6 ,0.0 ,0.0 ,0.0 ,23.4 ,852.1 ,0.0 ,0.0 ,992.6 ,7 ,45.70 
475.0 ,118.8 ,0.0 ,181.1 ,0.0 ,0.0 ,0.0 ,8.9 ,852.1 ,0.0 ,0.0 ,781.5 ,7 ,55.60 
469.0 ,117.2 ,0.0 ,137.8 ,0.0 ,0.0 ,0.0 ,32.2 ,852.1 ,0.0 ,0.0 ,840.5 ,7 ,54.90 
425.0 ,106.3 ,0.0 ,153.5 ,0.0 ,0.0 ,0.0 ,16.5 ,852.1 ,0.0 ,0.0 ,887.1 ,7 ,49.20 
388.6 ,97.1 ,0.0 ,157.9 ,0.0 ,0.0 ,0.0 ,12.1 ,852.1 ,0.0 ,0.0 ,925.7 ,7 ,34.90 
531.3 ,0.0 ,0.0 ,141.8 ,0.0 ,0.0 ,0.0 ,28.2 ,852.1 ,0.0 ,0.0 ,893.7 ,7 ,46.90 
425.0 ,106.3 ,0.0 ,153.5 ,0.0 ,0.0 ,0.0 ,16.5 ,852.1 ,0.0 ,0.0 ,887.1 ,7 ,49.20 
318.8 ,212.5 ,0.0 ,155.7 ,0.0 ,0.0 ,0.0 ,14.3 ,852.1 ,0.0 ,0.0 ,880.4 ,7 ,33.40 
401.8 ,94.7 ,0.0 ,147.4 ,0.0 ,0.0 ,0.0 ,11.4 ,946.8 ,0.0 ,0.0 ,852.1 ,7 ,54.10 
362.6 ,189.0 ,0.0 ,164.9 ,0.0 ,0.0 ,0.0 ,11.6 ,944.7 ,0.0 ,0.0 ,755.8 ,7 ,55.90 
323.7 ,282.8 ,0.0 ,183.8 ,0.0 ,0.0 ,0.0 ,10.3 ,942.7 ,0.0 ,0.0 ,659.9 ,7 ,49.80 
379.5 ,151.2 ,0.0 ,153.9 ,0.0 ,0.0 ,0.0 ,15.9 ,1134.3 ,0.0 ,0.0 ,605.0 ,7 ,47.10 
362.6 ,189.0 ,0.0 ,164.9 ,0.0 ,0.0 ,0.0 ,11.6 ,944.7 ,0.0 ,0.0 ,755.8 ,7 ,55.90 
286.3 ,200.9 ,0.0 ,144.7 ,0.0 ,0.0 ,0.0 ,11.2 ,1004.6 ,0.0 ,0.0 ,803.7 ,7 ,38.00 
362.6 ,189.0 ,0.0 ,164.9 ,0.0 ,0.0 ,0.0 ,11.6 ,944.7 ,0.0 ,0.0 ,755.8 ,7 ,55.90 
439.0 ,177.0 ,0.0 ,186.0 ,0.0 ,0.0 ,0.0 ,11.1 ,884.9 ,0.0 ,0.0 ,707.9 ,7 ,56.10 
389.9 ,189.0 ,0.0 ,145.9 ,0.0 ,0.0 ,0.0 ,22.0 ,944.7 ,0.0 ,0.0 ,755.8 ,7 ,59.09 
362.6 ,189.0 ,0.0 ,164.9 ,0.0 ,0.0 ,0.0 ,11.6 ,944.7 ,0.0 ,0.0 ,755.8 ,7 ,22.90 
337.9 ,189.0 ,0.0 ,174.9 ,0.0 ,0.0 ,0.0 ,9.5 ,944.7 ,0.0 ,0.0 ,755.8 ,7 ,35.10 
374.0 ,189.2 ,0.0 ,170.1 ,0.0 ,0.0 ,0.0 ,10.1 ,926.1 ,0.0 ,0.0 ,756.7 ,28 ,61.09 
313.3 ,262.2 ,0.0 ,175.5 ,0.0 ,0.0 ,0.0 ,8.6 ,1046.9 ,0.0 ,0.0 ,611.8 ,28 ,59.80 
425.0 ,106.3 ,0.0 ,153.5 ,0.0 ,0.0 ,0.0 ,16.5 ,852.1 ,0.0 ,0.0 ,887.1 ,28 ,60.29 
425.0 ,106.3 ,0.0 ,151.4 ,0.0 ,0.0 ,0.0 ,18.6 ,936.0 ,0.0 ,0.0 ,803.7 ,28 ,61.80 
375.0 ,93.8 ,0.0 ,126.6 ,0.0 ,0.0 ,0.0 ,23.4 ,852.1 ,0.0 ,0.0 ,992.6 ,28 ,56.70 
475.0 ,118.8 ,0.0 ,181.1 ,0.0 ,0.0 ,0.0 ,8.9 ,852.1 ,0.0 ,0.0 ,781.5 ,28 ,68.30 
469.0 ,117.2 ,0.0 ,137.8 ,0.0 ,0.0 ,0.0 ,32.2 ,852.1 ,0.0 ,0.0 ,840.5 ,28 ,66.90 
425.0 ,106.3 ,0.0 ,153.5 ,0.0 ,0.0 ,0.0 ,16.5 ,852.1 ,0.0 ,0.0 ,887.1 ,28 ,60.29 
388.6 ,97.1 ,0.0 ,157.9 ,0.0 ,0.0 ,0.0 ,12.1 ,852.1 ,0.0 ,0.0 ,925.7 ,28 ,50.70 
531.3 ,0.0 ,0.0 ,141.8 ,0.0 ,0.0 ,0.0 ,28.2 ,852.1 ,0.0 ,0.0 ,893.7 ,28 ,56.40 
425.0 ,106.3 ,0.0 ,153.5 ,0.0 ,0.0 ,0.0 ,16.5 ,852.1 ,0.0 ,0.0 ,887.1 ,28 ,60.29 
318.8 ,212.5 ,0.0 ,155.7 ,0.0 ,0.0 ,0.0 ,14.3 ,852.1 ,0.0 ,0.0 ,880.4 ,28 ,55.50 
401.8 ,94.7 ,0.0 ,147.4 ,0.0 ,0.0 ,0.0 ,11.4 ,946.8 ,0.0 ,0.0 ,852.1 ,28 ,68.50 
362.6 ,189.0 ,0.0 ,164.9 ,0.0 ,0.0 ,0.0 ,11.6 ,944.7 ,0.0 ,0.0 ,755.8 ,28 ,71.30 
323.7 ,282.8 ,0.0 ,183.8 ,0.0 ,0.0 ,0.0 ,10.3 ,942.7 ,0.0 ,0.0 ,659.9 ,28 ,74.70 
379.5 ,151.2 ,0.0 ,153.9 ,0.0 ,0.0 ,0.0 ,15.9 ,1134.3 ,0.0 ,0.0 ,605.0 ,28 ,52.20 
362.6 ,189.0 ,0.0 ,164.9 ,0.0 ,0.0 ,0.0 ,11.6 ,944.7 ,0.0 ,0.0 ,755.8 ,28 ,71.30 
286.3 ,200.9 ,0.0 ,144.7 ,0.0 ,0.0 ,0.0 ,11.2 ,1004.6 ,0.0 ,0.0 ,803.7 ,28 ,67.70 
362.6 ,189.0 ,0.0 ,164.9 ,0.0 ,0.0 ,0.0 ,11.6 ,944.7 ,0.0 ,0.0 ,755.8 ,28 ,71.30 
439.0 ,177.0 ,0.0 ,186.0 ,0.0 ,0.0 ,0.0 ,11.1 ,884.9 ,0.0 ,0.0 ,707.9 ,28 ,66.00 
389.9 ,189.0 ,0.0 ,145.9 ,0.0 ,0.0 ,0.0 ,22.0 ,944.7 ,0.0 ,0.0 ,755.8 ,28 ,74.50 
362.6 ,189.0 ,0.0 ,164.9 ,0.0 ,0.0 ,0.0 ,11.6 ,944.7 ,0.0 ,0.0 ,755.8 ,28 ,71.30 
337.9 ,189.0 ,0.0 ,174.9 ,0.0 ,0.0 ,0.0 ,9.5 ,944.7 ,0.0 ,0.0 ,755.8 ,28 ,49.90 
374.0 ,189.2 ,0.0 ,170.1 ,0.0 ,0.0 ,0.0 ,10.1 ,926.1 ,0.0 ,0.0 ,756.7 ,56 ,63.40 
313.3 ,262.2 ,0.0 ,175.5 ,0.0 ,0.0 ,0.0 ,8.6 ,1046.9 ,0.0 ,0.0 ,611.8 ,56 ,64.90 
425.0 ,106.3 ,0.0 ,153.5 ,0.0 ,0.0 ,0.0 ,16.5 ,852.1 ,0.0 ,0.0 ,887.1 ,56 ,64.30 
425.0 ,106.3 ,0.0 ,151.4 ,0.0 ,0.0 ,0.0 ,18.6 ,936.0 ,0.0 ,0.0 ,803.7 ,56 ,64.90 
375.0 ,93.8 ,0.0 ,126.6 ,0.0 ,0.0 ,0.0 ,23.4 ,852.1 ,0.0 ,0.0 ,992.6 ,56 ,60.20 
475.0 ,118.8 ,0.0 ,181.1 ,0.0 ,0.0 ,0.0 ,8.9 ,852.1 ,0.0 ,0.0 ,781.5 ,56 ,72.30 
469.0 ,117.2 ,0.0 ,137.8 ,0.0 ,0.0 ,0.0 ,32.2 ,852.1 ,0.0 ,0.0 ,840.5 ,56 ,69.30 
425.0 ,106.3 ,0.0 ,153.5 ,0.0 ,0.0 ,0.0 ,16.5 ,852.1 ,0.0 ,0.0 ,887.1 ,56 ,64.30 
388.6 ,97.1 ,0.0 ,157.9 ,0.0 ,0.0 ,0.0 ,12.1 ,852.1 ,0.0 ,0.0 ,925.7 ,56 ,55.20 
531.3 ,0.0 ,0.0 ,141.8 ,0.0 ,0.0 ,0.0 ,28.2 ,852.1 ,0.0 ,0.0 ,893.7 ,56 ,58.80 
425.0 ,106.3 ,0.0 ,153.5 ,0.0 ,0.0 ,0.0 ,16.5 ,852.1 ,0.0 ,0.0 ,887.1 ,56 ,64.30 
318.8 ,212.5 ,0.0 ,155.7 ,0.0 ,0.0 ,0.0 ,14.3 ,852.1 ,0.0 ,0.0 ,880.4 ,56 ,66.10 
401.8 ,94.7 ,0.0 ,147.4 ,0.0 ,0.0 ,0.0 ,11.4 ,946.8 ,0.0 ,0.0 ,852.1 ,56 ,73.70 
362.6 ,189.0 ,0.0 ,164.9 ,0.0 ,0.0 ,0.0 ,11.6 ,944.7 ,0.0 ,0.0 ,755.8 ,56 ,77.30 
323.7 ,282.8 ,0.0 ,183.8 ,0.0 ,0.0 ,0.0 ,10.3 ,942.7 ,0.0 ,0.0 ,659.9 ,56 ,80.20 
379.5 ,151.2 ,0.0 ,153.9 ,0.0 ,0.0 ,0.0 ,15.9 ,1134.3 ,0.0 ,0.0 ,605.0 ,56 ,54.90 
362.6 ,189.0 ,0.0 ,164.9 ,0.0 ,0.0 ,0.0 ,11.6 ,944.7 ,0.0 ,0.0 ,755.8 ,56 ,77.30 
286.3 ,200.9 ,0.0 ,144.7 ,0.0 ,0.0 ,0.0 ,11.2 ,1004.6 ,0.0 ,0.0 ,803.7 ,56 ,72.99 
362.6 ,189.0 ,0.0 ,164.9 ,0.0 ,0.0 ,0.0 ,11.6 ,944.7 ,0.0 ,0.0 ,755.8 ,56 ,77.30 
439.0 ,177.0 ,0.0 ,186.0 ,0.0 ,0.0 ,0.0 ,11.1 ,884.9 ,0.0 ,0.0 ,707.9 ,56 ,71.70 
389.9 ,189.0 ,0.0 ,145.9 ,0.0 ,0.0 ,0.0 ,22.0 ,944.7 ,0.0 ,0.0 ,755.8 ,56 ,79.40 
362.6 ,189.0 ,0.0 ,164.9 ,0.0 ,0.0 ,0.0 ,11.6 ,944.7 ,0.0 ,0.0 ,755.8 ,56 ,77.30 
337.9 ,189.0 ,0.0 ,174.9 ,0.0 ,0.0 ,0.0 ,9.5 ,944.7 ,0.0 ,0.0 ,755.8 ,56 ,59.89 
374.0 ,189.2 ,0.0 ,170.1 ,0.0 ,0.0 ,0.0 ,10.1 ,926.1 ,0.0 ,0.0 ,756.7 ,91 ,64.90 
313.3 ,262.2 ,0.0 ,175.5 ,0.0 ,0.0 ,0.0 ,8.6 ,1046.9 ,0.0 ,0.0 ,611.8 ,91 ,66.60 
425.0 ,106.3 ,0.0 ,153.5 ,0.0 ,0.0 ,0.0 ,16.5 ,852.1 ,0.0 ,0.0 ,887.1 ,91 ,65.20 
425.0 ,106.3 ,0.0 ,151.4 ,0.0 ,0.0 ,0.0 ,18.6 ,936.0 ,0.0 ,0.0 ,803.7 ,91 ,66.70 
375.0 ,93.8 ,0.0 ,126.6 ,0.0 ,0.0 ,0.0 ,23.4 ,852.1 ,0.0 ,0.0 ,992.6 ,91 ,62.50 
475.0 ,118.8 ,0.0 ,181.1 ,0.0 ,0.0 ,0.0 ,8.9 ,852.1 ,0.0 ,0.0 ,781.5 ,91 ,74.19 
469.0 ,117.2 ,0.0 ,137.8 ,0.0 ,0.0 ,0.0 ,32.2 ,852.1 ,0.0 ,0.0 ,840.5 ,91 ,70.70 
425.0 ,106.3 ,0.0 ,153.5 ,0.0 ,0.0 ,0.0 ,16.5 ,852.1 ,0.0 ,0.0 ,887.1 ,91 ,65.20 
